"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.957381726E1,-1.148554832E-1,2.276770830E0,9.561718941E0
2.959184686E1,-1.052841991E-1,2.300100803E0,9.533005714E0
2.960987384E1,-1.674975902E-1,2.277369022E0,9.519247055E0
2.962790264E1,-1.238285750E-1,2.324627161E0,9.528220177E0
2.964593280E1,-1.381855011E-1,2.329412937E0,9.523433685E0
2.966396136E1,-1.381855011E-1,2.310270309E0,9.537791252E0
2.968199096E1,-1.716850251E-1,2.286940336E0,9.519247055E0
2.970001892E1,-7.178468257E-2,2.299502611E0,9.580862045E0
2.971804449E1,-1.716850251E-1,2.315654039E0,9.528220177E0
2.973606060E1,-2.093719840E-1,2.349751949E0,9.518648148E0
2.975410522E1,-9.451649338E-2,2.386242390E0,9.556335449E0
2.977213037E1,-1.094716340E-1,2.333600283E0,9.643074989E0
2.979015295E1,-9.032905847E-2,2.299502611E0,9.647860527E0
2.980819250E1,-7.716853172E-2,2.329412937E0,9.370891571E0
2.982622210E1,-8.135596663E-2,2.334198475E0,9.394221306E0
2.984425396E1,-6.699903309E-2,2.338385820E0,9.518648148E0
2.986228009E1,-9.511470050E-2,2.338385820E0,9.499505997E0
2.988030749E1,-4.785645381E-2,2.309073925E0,9.523433685E0
2.989833679E1,-1.136590764E-1,2.391027927E0,9.513862610E0
2.991636578E1,-8.973085135E-2,2.395215511E0,9.599406242E0
2.993439562E1,-6.161518395E-2,2.390429735E0,9.509077072E0
2.995242370E1,-8.015955985E-2,2.419143677E0,9.537193298E0
2.997045343E1,-1.854437590E-2,2.428116798E0,9.522835732E0
2.998848138E1,3.349951655E-2,2.384447813E0,9.513264656E0
3.000651178E1,9.571290575E-3,2.370090723E0,9.522835732E0
3.002453967E1,-1.375873014E-2,2.428116798E0,9.474979401E0
3.004256829E1,1.555334684E-2,2.451446772E0,9.527621269E0
3.006059723E1,2.512463741E-2,2.475374937E0,9.513264656E0
3.007862683E1,5.324030295E-2,2.455634356E0,9.474979401E0
3.009665490E1,4.845465720E-2,2.450848579E0,9.494122505E0
3.011468487E1,2.512463741E-2,2.465803623E0,9.498908043E0
3.013271270E1,3.409772366E-2,2.465803623E0,9.451051712E0
3.015074261E1,1.058823988E-1,2.498106956E0,9.493523598E0
3.016877032E1,7.716853172E-2,2.493919373E0,9.464810371E0
3.018679937E1,6.819544733E-2,2.541775942E0,9.460023880E0
3.020482824E1,8.793623000E-2,2.555534601E0,9.464810371E0
3.022285821E1,1.160518974E-1,2.560320139E0,9.455238342E0
3.024088922E1,1.351944804E-1,2.564507723E0,9.455238342E0
3.025892767E1,1.501496136E-1,2.593221426E0,9.454640388E0
3.027694421E1,1.262213886E-1,2.593221426E0,9.450452805E0
3.029497400E1,1.692921966E-1,2.611765862E0,9.449854851E0
3.031299865E1,2.213360965E-1,2.596810818E0,9.430712700E0
